TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr,Load
*,*,*,*,R,*,*,*,*,d,right,1
*,*,*,*,K,*,*,*,*,n,right,1
*,*,*,*,J,*,*,*,*,f,right,1
*,*,*,*,B,*,*,*,*,b,left,1
*,*,*,*,X,*,*,*,*,x,left,1
*,*,*,*,C,*,*,*,*,c,left,1
*,*,*,V,*,F,*,*,*,d,right,2
*,*,*,G,*,B,*,*,*,k,right,2
*,*,*,D,*,P,*,*,*,p,left,2
*,*,*,V,*,T,*,*,*,z,right,2
*,*,*,S,*,F,*,*,*,f,left,2
*,*,*,T,*,P,*,*,*,t,left,2
*,*,*,B,G,F,*,*,*,g,left,3
*,*,*,K,D,R,*,*,*,x,right,3
*,*,*,G,L,Y,*,*,*,s,right,3
*,*,*,H,K,F,*,*,*,h,left,3
*,*,*,N,V,J,*,*,*,v,left,3
*,*,*,Q,F,K,*,*,*,p,right,3
P,*,Q,*,*,*,H,*,T,q,left,4
L,*,S,*,*,*,V,*,N,n,left,4
Q,*,J,*,*,*,R,*,B,r,left,4
F,*,M,*,*,*,V,*,H,g,right,4
L,*,T,*,*,*,P,*,C,y,right,4
N,*,B,*,*,*,Q,*,Z,k,right,4
B,*,T,*,K,*,P,*,N,x,right,5
D,*,R,*,C,*,V,*,Z,s,right,5
H,*,G,*,T,*,P,*,F,p,left,5
S,*,J,*,B,*,Y,*,X,j,left,5
T,*,N,*,Q,*,K,*,H,n,left,5
R,*,M,*,Y,*,F,*,L,v,right,5
D,T,F,*,*,*,K,R,C,j,right,6
B,G,Q,*,*,*,Y,P,S,q,left,6
H,R,T,*,*,*,Z,K,L,z,left,6
B,C,F,*,*,*,J,G,V,j,left,6
Z,D,P,*,*,*,S,Q,X,k,right,6
B,J,C,*,*,*,G,Y,F,m,right,6
S,J,Q,*,D,*,G,V,P,d,left,7
M,H,X,*,L,*,T,K,Y,h,left,7
G,D,J,*,R,*,B,N,P,p,left,7
F,Q,S,*,K,*,Y,L,M,x,right,7
J,C,V,*,D,*,N,P,B,r,right,7
F,Q,S,*,K,*,Y,L,M,x,right,7
M,F,G,X,*,H,B,L,S,s,left,8
L,V,P,T,*,K,Z,R,C,k,left,8
S,B,F,X,*,G,D,Q,Y,f,left,8
H,Y,Z,L,*,M,K,V,C,r,right,8
P,R,X,D,*,G,N,Q,B,t,right,8
Y,M,F,H,*,K,Z,J,B,l,right,8
H,Y,M,J,S,R,C,B,D,v,right,9
X,T,N,P,L,F,K,S,Y,t,left,9
V,M,D,G,Y,X,R,H,C,z,right,9
S,P,K,Q,V,L,N,Y,B,p,left,9
M,Z,H,G,R,K,T,F,S,h,left,9
Z,N,R,V,X,J,Q,D,Y,b,right,9
